Worksheet,Row Number,Order Number,Edition Number,Expected Note Line,Current Shopify Note,Required Action
THE 18 - EE SALA CUP NAMDU,82,1498,#081,THE 18 - EE SALA CUP NAMDU|#081,THE 18 - EE SALA CUP NAMDE|#081,"INVALID — product not in order; Shopify has: ""THE 18 - EE SALA CUP NAMDE"""
World T20 Champions Edition - 2026,2,1500,#001,World T20 Champions Edition - 2026|#001,THE 18 - EE SALA CUP NAMDU|#001,"INVALID — product not in order; Shopify has: ""THE 18 - EE SALA CUP NAMDU"""
World T20 Champions Edition - 2026,8,1509,#007,World T20 Champions Edition - 2026|#007,THE 18 - EE SALA CUP NAMDU|#007,"INVALID — product not in order; Shopify has: ""THE 18 - EE SALA CUP NAMDU"""
World T20 Champions Edition - 2026,64,1502,#063,World T20 Champions Edition - 2026|#063,THE 18 - EE SALA CUP NAMDU|#063,"INVALID — product not in order; Shopify has: ""THE 18 - EE SALA CUP NAMDU"""
World T20 Champions Edition - 2026,73,1503,#072,World T20 Champions Edition - 2026|#072,THE 18 - EE SALA CUP NAMDU|#072,"INVALID — product not in order; Shopify has: ""THE 18 - EE SALA CUP NAMDU"""
World T20 Champions Edition - 2026,74,1559,#073,World T20 Champions Edition - 2026|#073,THE 18 - EE SALA CUP NAMDU|#073,UPDATE — add: World T20 Champions Edition - 2026|#073
World T20 Champions Edition - 2026,82,1498,#081,World T20 Champions Edition - 2026|#081,THE 18 - EE SALA CUP NAMDE|#081,"INVALID — product not in order; Shopify has: ""THE 18 - EE SALA CUP NAMDE"""
World T20 Champions Edition - 2026,83,1516,#082,World T20 Champions Edition - 2026|#082,THE 18 - EE SALA CUP NAMDU|#082,"INVALID — product not in order; Shopify has: ""THE 18 - EE SALA CUP NAMDU"""
World T20 Champions Edition - 2026,84,1515,#083,World T20 Champions Edition - 2026|#083,THE 18 - EE SALA CUP NAMDU|#083,"INVALID — product not in order; Shopify has: ""THE 18 - EE SALA CUP NAMDU"""
World T20 Champions Edition - 2026,106,1505,#105,World T20 Champions Edition - 2026|#105,THE 18 - EE SALA CUP NAMDU|#105 | THE 18 - EE SALA CUP NAMDU|#156 | THE 18 - EE SALA CUP NAMDU|#157 | THE 18 - EE SALA CUP NAMDU|#162,"INVALID — product not in order; Shopify has: ""THE 18 - EE SALA CUP NAMDU"""
World T20 Champions Edition - 2026,111,1504,#110,World T20 Champions Edition - 2026|#110,THE 18 - EE SALA CUP NAMDU|#110 | 2011 WORLD CUP CHAMPIONS EDITION|#932 | 2011 WORLD CUP CHAMPIONS EDITION|#938,"INVALID — product not in order; Shopify has: ""2011 WORLD CUP CHAMPIONS EDITION"", ""THE 18 - EE SALA CUP NAMDU"""
World T20 Champions Edition - 2026,116,1517,#115,World T20 Champions Edition - 2026|#115,THE 18 - EE SALA CUP NAMDU|#115,"INVALID — product not in order; Shopify has: ""THE 18 - EE SALA CUP NAMDU"""
World T20 Champions Edition - 2026,117,1520,#116,World T20 Champions Edition - 2026|#116,THE 18 - EE SALA CUP NAMDU|#116,"INVALID — product not in order; Shopify has: ""THE 18 - EE SALA CUP NAMDU"""
World T20 Champions Edition - 2026,121,1506,#120,World T20 Champions Edition - 2026|#120,THE 18 - EE SALA CUP NAMDU|#120,"INVALID — product not in order; Shopify has: ""THE 18 - EE SALA CUP NAMDU"""
World T20 Champions Edition - 2026,122,1528,#121,World T20 Champions Edition - 2026|#121,THE 18 - EE SALA CUP NAMDU|#121,"INVALID — product not in order; Shopify has: ""THE 18 - EE SALA CUP NAMDU"""
World T20 Champions Edition - 2026,127,1522,#126,World T20 Champions Edition - 2026|#126,THE 18 - EE SALA CUP NAMDU|#126,"INVALID — product not in order; Shopify has: ""THE 18 - EE SALA CUP NAMDU"""
World T20 Champions Edition - 2026,132,1519,#131,World T20 Champions Edition - 2026|#131,THE 18 - EE SALA CUP NAMDU|#131,"INVALID — product not in order; Shopify has: ""THE 18 - EE SALA CUP NAMDU"""
World T20 Champions Edition - 2026,137,1521,#136,World T20 Champions Edition - 2026|#136,THE 18 - EE SALA CUP NAMDU|#136,"INVALID — product not in order; Shopify has: ""THE 18 - EE SALA CUP NAMDU"""
World T20 Champions Edition - 2026,142,1525,#141,World T20 Champions Edition - 2026|#141,THE 18 - EE SALA CUP NAMDU|#141,"INVALID — product not in order; Shopify has: ""THE 18 - EE SALA CUP NAMDU"""
World T20 Champions Edition - 2026,147,1526,#146,World T20 Champions Edition - 2026|#146,THE 18 - EE SALA CUP NAMDU|#146,"INVALID — product not in order; Shopify has: ""THE 18 - EE SALA CUP NAMDU"""
World T20 Champions Edition - 2026,152,1523,#151,World T20 Champions Edition - 2026|#151,THE 18 - EE SALA CUP NAMDU|#151 | THE 18 - EE SALA CUP NAMDU|#163,"INVALID — product not in order; Shopify has: ""THE 18 - EE SALA CUP NAMDU"""
World T20 Champions Edition - 2026,155,1499,#154,World T20 Champions Edition - 2026|#154,THE 18 - EE SALA CUP NAMDU|#154,"INVALID — product not in order; Shopify has: ""THE 18 - EE SALA CUP NAMDU"""
World T20 Champions Edition - 2026,157,1505,#156,World T20 Champions Edition - 2026|#156,THE 18 - EE SALA CUP NAMDU|#105 | THE 18 - EE SALA CUP NAMDU|#156 | THE 18 - EE SALA CUP NAMDU|#157 | THE 18 - EE SALA CUP NAMDU|#162,"INVALID — product not in order; Shopify has: ""THE 18 - EE SALA CUP NAMDU"""
World T20 Champions Edition - 2026,158,1505,#157,World T20 Champions Edition - 2026|#157,THE 18 - EE SALA CUP NAMDU|#105 | THE 18 - EE SALA CUP NAMDU|#156 | THE 18 - EE SALA CUP NAMDU|#157 | THE 18 - EE SALA CUP NAMDU|#162,"INVALID — product not in order; Shopify has: ""THE 18 - EE SALA CUP NAMDU"""
World T20 Champions Edition - 2026,162,1540,#161,World T20 Champions Edition - 2026|#161,THE 18 - EE SALA CUP NAMDU|#161,"INVALID — product not in order; Shopify has: ""THE 18 - EE SALA CUP NAMDU"""
World T20 Champions Edition - 2026,163,1505,#162,World T20 Champions Edition - 2026|#162,THE 18 - EE SALA CUP NAMDU|#105 | THE 18 - EE SALA CUP NAMDU|#156 | THE 18 - EE SALA CUP NAMDU|#157 | THE 18 - EE SALA CUP NAMDU|#162,"INVALID — product not in order; Shopify has: ""THE 18 - EE SALA CUP NAMDU"""
World T20 Champions Edition - 2026,164,1523,#163,World T20 Champions Edition - 2026|#163,THE 18 - EE SALA CUP NAMDU|#151 | THE 18 - EE SALA CUP NAMDU|#163,"INVALID — product not in order; Shopify has: ""THE 18 - EE SALA CUP NAMDU"""
Ravi Bishnoi: Official Hand-Signed Ball,135,1636,#134,Ravi Bishnoi: Official Hand-Signed Ball|#134,,UPDATE — add: Ravi Bishnoi: Official Hand-Signed Ball|#134
Ravi Bishnoi: Official Hand-Signed Ball,142,1542,#141,Ravi Bishnoi: Official Hand-Signed Ball|#141,,UPDATE — add: Ravi Bishnoi: Official Hand-Signed Ball|#141
Ravi Bishnoi: Official Hand-Signed Ball,222,1583,#221,Ravi Bishnoi: Official Hand-Signed Ball|#221,,UPDATE — add: Ravi Bishnoi: Official Hand-Signed Ball|#221
